letter,date,datestart,dateend,cicero_location,pleiades_cicero_loc_id,sender,correspondent,Correspondent location,pleiades_correspondent_loc_id,Correspondent's Transient Location,pleiades_correspondent_transient_loc_id,Other Personal Names,Inferred Names,Slaves and Freed People,Literary/Historical References,Other Locations in Letter,pleiades_other_letter_id,Peoples of a Nation,pleiades_peoples_id
Fam. 13.29,early 46 BCE,-1.1.46,-3.31.46,Rome,423025,Cicero,L. Munatius Plancus,Africa,775,,,C. Aetius Capito; T. Antistius; Cn. Pompeius Magnus; C. Julius Caesar; A. Plautius; L. Aemilius Lepidus Paullus; C. Claudius Marcellus Minor,,,,Macedonia; Bithynia; Apollonia; Corcyra,981531; 844879; 501355; 530834,,
Fam. 13.30,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Manius Acilius Glabrio,Sicily,462492,,,L. Manlius Sosis,,,,Catina; Naples,462270; 433014,,
Fam. 13.31,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Manius Acilius Glabrio,Sicily,462492,,,C. Flavius; L. Flavius; C. Calpurnius Piso Frugi,,,,,,,
Fam. 13.32,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Manius Acilius Glabrio,Sicily,462492,,,M. Clodius Archagathus; C. Clodius Philo,,,,Halaesa,462225,,
Fam. 13.33,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Manius Acilius Glabrio,Sicily,462492,,,Cn. Otacilius Naso,,Hilarus (Naso's freedmen); Antigonus (Naso's freedmen); Demostratus (Naso's freedmen),,,,,
Fam. 13.34,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Manius Acilius Glabrio,Sicily,462492,,,Lyso of Lilybaeum,,,,Lilybaeum,462281,,
Fam. 13.35,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Manius Acilius Glabrio,Sicily,462492,,,C. Avianius Philoxenus; C. Avianius Flaccus,,,,Novum Comum,383627,,
Fam. 13.36,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Manius Acilius Glabrio,Sicily,462492,,,Demetrius Megas; Publius Cornelius Dolabella; C. Julius Caesar ,,,,,,,
Fam. 13.37,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Manius Acilius Glabrio,Sicily,462492,,,Hippias of Calacte; Philoxenus of Calacte,,,,Calacte,462123,,
Fam. 13.38,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Manius Acilius Glabrio,Sicily,462492,,,L. Bruttius,,,,,,,
Fam. 13.39,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Manius Acilius Glabrio,Sicily,462492,,,M. Titurnius Rufus,,,,,,,
Fam. 13.40,55 BCE,-1.1.55,-12.31.55,Rome,423025,Cicero,Q. Ancharius,Macedonia,981531,,,Lucius Aurelius Minor; Gaius Aurelius; Lucius Aurelius,,,,,,,
Fam. 13.41,61; 60 BCE,-1.1.61,-12.31.60,Rome,423025,Cicero,L. Culleolus,Illyricum,481865,,,L. Lucceius; Cn. Pompeius Magnus,,,,,,,
Fam. 13.42,61; 60 BCE,-1.1.61,-12.31.60,Rome,423025,Cicero,L. Culleolus,Illyricum,481865,,,L. Lucceius; Cn. Pompeius Magnus,,,,,,inhabitants of Bullis,481865
Fam. 13.43,November 47 BCE; February 46 BCE,-11.15.47,-2.28.46,Rome,423025,Cicero,Quintus Gallus,Asia,991380,,,Lucius Oppius; Marcus Oppius; L. Egnatius Rufus,,,,Philomelium,609501,,
Fam. 13.44,46 BCE,-1.1.46,-12.31.46,Rome,423025,Cicero,Quintus Gallus,Asia,991380,,,Lucius Oppius; L Egnatius Rufus,,,,,,,
Fam. 13.45,46 BCE,-1.1.46,-12.31.46,Rome,423025,Cicero,Appuleius,Asia,991380,,,L. Egnatius Rufus,,Anchialus (Egnatius' slave),,,,,
Fam. 13.46,46 BCE,-1.1.46,-12.31.46,Rome,423025,Cicero,Appuleius,Asia,991380,,,,,L. Nostius Zoilus (freedman of L. Nostius),,,,,
Fam. 13.47,51 BCE,-1.1.51,-12.31.51,Rome,423025,Cicero,P. Silius Nerva,Bithynia,844879,,,L. Egnatius Rufus,,,,,,,
Fam. 13.48,early 49 BCE,-1.1.49,-3.31.49,Italy,1052,Cicero,C. Sextilius Rufus,Cyprus,981516,,,P. Lentulus Spinther,,,,Paphos,707596,,
Fam. 13.49,Unknown,,,Unknown,,Cicero,Vibius Curius,Unknown,,,,Quintus Pompeius; Sextus Pompeius,,,,,,,
Fam. 13.50,January 44 BCE,-1.1.44,-1.31.44,Rome,423025,Cicero,Manius Acilius Glabrio,Achaia,573049,,,Manius Curius,,,,Brundisium; Patrae,442509; 570567,,
Fam. 13.51,Unknown,,,Rome,423025,Cicero,Publius Caesius,Unknown,,,,P. Messenius,,,,,,,
Fam. 13.52,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,Q. Marcius Rex,Sicily,462492,,,Aulus Licinius Aristoteles; C. Julius Caesar,Cn. Pomeius Magnus,,,Melite,540941,,
Fam. 13.53,end of 51 BCE,-10.1.51,-12.31.51,Cilicia,628957,Cicero,Q. Minucius Thermus,Asia,991380,,,L. Genucilius Curvus,,,,Hellespont; Parium,981526; 511354,,
Fam. 13.54,February 50 BCE,-2.1.50,-2.28.50,Laodicae,897792,Cicero,Q. Minucius Thermus,Asia,991380,,,M. Marcilius,,,,Laodicea,897792,,
Fam. 13.55,Late 51 BCE,-10.1.51,-12.31.51,Tarsus,648789,Cicero,Q. Minucius Thermus,Asia,991380,,,M. Anneius,,,,Ephesus; Sardis,599612; 550867,,
Fam. 13.56,late 51 BCE,-10.1.51,-12.31.51,Cilicia,628957,Cicero,Q. Minucius Thermus,Asia,991380,,,Cluvis of Puteoli; Euthydemus; Philotes of Alabanda; Cn. Pompeius Magnus,,,,Puteoli; Rome,432815; 423025,people of Mylasa; people of Alabanda; people of Caunus; Heraclea; Bargylia,599809; 599479; 638796; 638857; 599550
Fam. 13.57,March 50 BCE,-3.1.50,-3.31.50,Laodicae,897792,Cicero,Q. Minucius Thermus,Asia,991380,,,M. Anneius,,,,Syria; Cilicia; Sardis; Ephesus,609538; 628957; 550867; 599612,,
Fam. 13.58,February 50 BCE,-2.1.50,-2.28.50,Laodicae,897792,Cicero,C. Titius Rufus,Rome,423025,,,L. Custidius,,,,,,,
Fam. 13.59,February 50 BCE,-2.1.50,-2.28.50,Laodicae,897792,Cicero,Curtius Peducaeanus,Rome,423025,,,M. Fadius Gallus,,,,,,,
Fam. 13.60,57 BCE (after his return from exile),-8.6.31,-12.31.57,Rome,423025,Cicero,C. Munatius,Unknown,,,,L. Regulus,,L. Livineius Trypho (regulus' freedman),,,,,
Fam. 13.61,late 51 BCE,-10.1.51,-12.31.51,Cilicia,628957,Cicero,P. Silius Nerva,Bithynia and Pontus,844879; 981512 ,,,T. Pinnius,,,,,,people of Nicaea,
Fam. 13.62,late 51 BCE,-10.1.51,-12.31.51,Cilicia,628957,Cicero,P. Silius Nerva,Bithynia,844879,,,Atilius; L. Aelius Lamia; Quintus Tullius Cicero,,,,,,Roman knight,423025
Fam. 13.63,April 4 50 BCE,-4.4.50,-4.4.50,Laodicae,897792,Cicero,P. Silius Nerva,Bithynia and Pontus,844879; 981512,,,M. Laenius Flaccus,,,,,,,
Fam. 13.64,April 50 BCE,-4.1.50,-4.30.50,Laodicae,897792,Cicero,P. Silius Nerva,Bithynia,844879,,,Tiberius Claudius Nero; Pausanias of Alabanda; Strabo Servilius,,,,Alabanda,,Nysaeans,
Fam. 13.65,late 51 BCE,-10.1.51,-12.31.51,Cilicia,628957,Cicero,P. Silius Nerva,Bithynia and Pontus,844879; 981512,,,P. Terentius Hispo,,,,Ephesus,599612,Greeks,1001896
Fam. 13.66,January 45 BCE,-1.1.45,-1.31.45,Rome,423025,Cicero,P. Servilius Vatia Isauricus,Asia,991380,,,Aulus Caecina,C. Julius Caesar,,,,,,
Fam. 13.67,46; 44 BCE,-1.1.46,-12.31.44,Rome,423025,Cicero,P. Servilius Vatia Isauricus,Asia,991380,,,Andro of Laodicae; Artemo of Laodicae,,,,Synnada; Cibrya; Apamea; Cilicia; Laodicea,,,
Fam. 13.68,October 46 CE,-10.1.46,-10.31.46,Rome,423025,Cicero,P. Servilius Vatia Isauricus,Asia,991380,,,C. Julius Caesar,P. Servilius Vatia Isauricus (father),,,,,,
Fam. 13.69,46 BCE,-1.1.46,-12.31.46,Rome,423025,Cicero,P. Servilius Vatia Isauricus,Asia,991380,,,Marcus Curtius Postumus,,C. Curtius Mithres (Postumus' freedman),,Ephesus,599612,Colophonian,
Fam. 13.70,46; 44 BCE,-1.1.46,-12.31.44,Rome,423025,Cicero,P. Servilius Vatia Isauricus,Asia,991380,,,T. Ampius Balbus,,T. Amius Menander (Balbus' freedman),,,,,
Fam. 13.71,46; 44 BCE,-1.1.46,-12.31.44,Rome,423025,Cicero,P. Servilius Vatia Isauricus,Asia,991380,,,T. Agusius,,,,,,,
Fam. 13.72,46; 45 BCE,-1.1.46,-12.31.45,Rome,423025,Cicero,P. Servilius Vatia Isauricus,Asia,991380,,,Caerellia; C. Vennonius,,,,,,,
Fam. 13.73,last half 46 BCE,-7.31.46,-12.31.46,Tusculum,423108,Cicero,Q. Marcius Philippus,Asia,991380,,,Antipater of Derbe;  L. Egnatius Rufus; Lucius Oppius,,,,Derbe,648620,,
Fam. 13.74,46 BCE,-1.1.46,-12.31.46,Rome,423025,Cicero,Q. Marcius Philippus,Asia,991380,,,Lucius Oppius; L. Egnatius Rufus,,,,,,,
Fam. 13.75,52; 51 BCE,-1.1.52,-12.31.51,Rome,423025,Cicero,T. Titius,Sicily,462492,,,C. Avianius Flaccus; Cn. Pompeius Magnus,,,,,,,
Fam. 13.76,Unknown (Cicero's consulship?),-1.1.63,-12.31.63,Rome,423025,Cicero,Quattuorviri; Decuriones,Fabrateria,432826,,,Q. Hippius; C. Valgius Hippianus,,,,territory of Fregellae,432846,,
Fam. 13.77,Autumn 46 BCE,-9.1.46,-11.1.46,Rome,423025,Cicero,Publius Sulpicius Rufus,Illyricum,481865,,,M. Bolanus,,Dionysius (Cicero's slave),,Narona,,,
Fam. 13.78,47; 46 BCE,-1.1.47,-12.31.46,Rome,423025,Cicero,Aulus Allienus,Sicily,462492,,,Democritus of Sicyon,,,,Sicyon; Achaia,570668; 573049,Greeks,1001896
Fam. 13.79,47; 46 BCE,-1.1.47,-12.31.46,Rome,423025,Cicero,Aulus Allienus,Sicily,462492,,,C. Avianius Flaccus; M. Avianius Flaccus,,,,,,,
Fam. 14.1,November 25 58 BCE,-11.25.58,-11.25.58,Thessalonica; Dyrrachium,491741; 573193,Cicero,Terentia; Tullia; Marcus Tullius Cicero Minor,Rome,423025,,,P. Cornelius Lentulus Spinther; Cn. Pompeius Magnus; C. Julius Caesar; C. Calpurnius Piso Frugi; Lucius Calpurnius Piso Caesoninus; Cn. Plancius; Quintus Tullius Cicero,,,,Epirus; Italy,530871; 1052,,
Fam. 14.2,October 5 58 BCE,-10.5.58,-10.5.58,Thessalonica,491741,Cicero,Terentia; Tullia; Marcus Tullius Cicero Minor,Rome,423025,,,C. Calpurnius Piso Frugi; Cn. Pompeius Magnus; P. Valerius; Marcus Licinius Crassus,,,,,,,
Fam. 14.3,November 29 58 BCE,-11.29.58,-11.29.58,Dyrrachium,573193,Cicero,Terentia; Tullia; Marcus Tullius Cicero Minor,Rome,423025,,,Dexippus; Aristocritus; C. Calpurnius Piso Frugi,,,,Epirus,530871,,
Fam. 14.4,April 29 58 BCE,-4.29.58,-4.29.58,Brundisium,442509,Cicero,Terentia; Tullia; Marcus Tullius Cicero Minor,Rome,423025,,,M. Laenius Flaccus; C. Calpurnius Piso Frugi,,Orpheus; Clodius Philetaerus; Sallustius; Pescennius (Cicero's Freedmen); Sicca,,Cyzicum; Macedonia,511218; 981531,,
Fam. 14.5,October 16 50 BCE,-10.16.50,-10.16.50,Athens,579885,Cicero,Terentia; Tullia,Rome,423025,,,Marcus Tullius Cicero Minor; Lucius Precius; T. Pomponius Atticus; Camillus,,Acastus (Cicero's),,Italy,1052,,
Fam. 14.6,July 15 48 BCE,-7.15.48,-7.15.48,Dyrrachium,573193,Cicero,Terentia; Tullia,Rome,423025,,,,,Pollex (Cicero's),,,,,
Fam. 14.7,June 11 49 BCE,-6.11.49,-6.11.49,Port at Caieta,432734,Cicero,Terentia; Tullia,Cumae,432808,,,Marcus Tullius Cicero Minor,,,,Arpinum,432700,,
Fam. 14.8,June 2 47 BCE,-6.2.47,-6.2.47,Brundisium,442509,Cicero,Terentia,Rome,423025,,,C. Julius Caesar,,,,,,,
Fam. 14.9,December 17 48 BCE,-12.17.48,-12.17.48,Brundisium,442509,Cicero,Terentia,Rome,423025,,,Tullia; Publius Cornelius Dolabella,,,,,,,
Fam. 14.10,July 9 47 BCE,-7.9.47,-7.9.47,Brundisium,442509,Cicero,Terentia,Rome,423025,,,T. Pomponius Atticus,,,,,,,
Fam. 14.11,June 14 47 BCE,-6.14.47,-6.14.47,Brundisium,442509,Cicero,Terentia,Rome,423025,,,Tullia; Marcus Tullius Cicero Minor; C. Julius Caesar; Cn. Sallustius,,,,,,,
