letter,date,datestart,dateend,cicero_location,pleiades_cicero_loc_id,sender,correspondent,Correspondent location,pleiades_correspondent_loc_id,Correspondent's Transient Location,pleiades_correspondent_transient_loc_id,Other Personal Names,Inferred Names,Slaves and Freed People,Literary/Historical References,Other Locations in Letter,pleiades_other_letter_id,Peoples of a Nation,pleiades_peoples_id
Fam. 15.17,early January 45 BCE,-1.1.45,-1.10.45,Rome,423025,Cicero,C. Cassius Longinus,Brundisium,442509,,,Publius Cornelius Sulla; C. Julius Caesar; M. Mindius Marcellus; Attius (pigmentarius); C. Vibius Pansa Caetronianus ,,,,Spain,992072,,
Fam. 15.18,December 46 BCE,-12.1.46,-12.31.46,Rome,423025,Cicero,C. Cassius Longinus,Brundisium,442509,,,,,,Plato,Spain,992072,,
Fam. 15.19,end of January 45 BCE,-1.15.45,-1.31.45,Brundisium,442509,C. Cassius Longinus,Cicero,Rome,423025,,,C. Vibius Pansa Caetronianus; Catius the Insubrian; Publius Cornelius Sulla; C. Julius Caesar; Gnaeus Pompeius; Publius Cornelius Sulla Minor,,,Epicurus; C. Amafinius,Spain,992072,Athenian,579885
Fam. 15.20,Late Decmeber 46 BCE,-12.15.46,-12.31.46,Rome,423025,Cicero,C. Trebonius,Asia,991380,,,Decimus Junius Brutus Albinus,Publius Ventidius Bassus ,Sabinus (Trebonius' servant),,Cures,413114,,
Fam. 15.21,December 46 BCE,-12.1.46,-12.31.46,Rome,423025,Cicero,C. Trebonius,Spain,992072,,,C. Licinius Macer Calvus,,,,Brundisium,442509,,
Fam. 16.1,November 3 50 BCE,-11.3.50,-11.3.50,Patrae to Alyzia,570567; 530793,Cicero,Marcus Tullius Tiro,Patrae,570567,,,Marcus Tullius Cicero Minor,Quintus Tullius Cicero: Quintus Tullius Cicero Minor,Mario (Cicero's slave),,Leucas,530975,,
Fam. 16.2,November 5 50 BCE,-11.5.50,-11.5.50,Alyzia,530793,Cicero,Marcus Tullius Tiro,Patrae,570567,,,,,,,Leucas,530975,,
Fam. 16.3,November 6 50 BCE,-11.6.50,-11.6.50,Alyzia,530793,Cicero,Marcus Tullius Tiro,Patrae,570567,,,Quintus Tullius Cicero; Quintus Tullius Cicero Minor; Marcus Tullius Cicero Minor,,Mario (Cicero's slave),,,,,
Fam. 16.4,November 7 50 BCE,-11.7.50,-11.7.50,Leucas,530975,Cicero,Marcus Tullius Tiro,Patrae,570567,,,Marcus Tullius Cicero Minor; Quintus Tullius Cicero; Lyso of Patrae; Manius Curius; L. Mescinius Rufus; Q. Lepta; Quintus Tullius Cicero Minor,Asclapo of Patrae,,,,,Greeks,1001896
Fam. 16.5,November 7 50 BCE,-11.7.50,-11.7.50,Leucas,530975,Cicero,Marcus Tullius Tiro,Patrae,570567,,,Lyso of Patrae: Marcus Tullius Cicero Minor; Quintus Tullius Cicero; Quintus Tullius Cicero Minor; Xenomenes; Manius Curius,Asclapo of Patrae,Mario (Cicero's slave); Acastus (Cicero's),,Thyrreum,531123,,
Fam. 16.6,November 7 50 BCE,-11.7.50,-11.7.50,Actium,530772,Cicero,Marcus Tullius Tiro,Patrae,570567,,,Marcus Tullius Cicero Minor; Quintus Tullius Cicero; Quintus Tullius Cicero Minor,,,,Italy,1052,,
Fam. 16.7,November 16 50 BCE,-11.16.50,-11.16.50,Corcyra,530834,Cicero,Marcus Tullius Tiro,Patrae,570567,,,Quintus Tullius Cicero; Quintus Tullius Cicero Minor; Marcus Tullius Cicero Minor,,,,Buthrotum,530824,,
Fam. 16.8,February 2 49 BCE,-2.2.49,-2.2.49,Formiae,432839,Quintus Tullius Cicero,Marcus Tullius Tiro,Patrae,570567,,,Quintus Tullius Cicero Minor,,,Euripides,,,,
Fam. 16.9,November 26 50 BCE,-11.26.50,-11.26.50,Brundisium,442509,Cicero,Marcus Tullius Tiro,Patrae,570567,,,Marcus Tullius Cicero Minor; Quintus Tullius Cicero; Terentia; Cn. Plancius; Asclapo of Patrae; Lyso of Patrae; Manius Curius; L. Mescinius Rufus,,,,Actium; Corcyra; Cassiope; Leucas; Hyndruns; Italy; Rome,530772; 530834; cassiope unknown (N of corcyra); 530975; 442615; 1052; 423025,,
Fam. 16.10,April 17 54;  53 BCE,-4.17.54,-4.17.53,Cumae,432808,Cicero,Marcus Tullius Tiro,Patrae,570567,,,Cn. Pompeius Magnus,,Acastus (Cicero's),,Formiae,432839,,
Fam. 16.11,January 12 49 BCE,-1.12.49,-1.12.49,Rome,423025,Cicero,Marcus Tullius Tiro,Patrae,570567,,,Marcus Tullius Cicero Minor; Quintus Tullius Cicero; Quintus Tullius Cicero Minor; Terentia; Tullia; Manius Curius; C. Julius Caesar; M. Antonius; C. Scribonius Curio; Q. Cassius Longinus; Cn. Pompeius Magnus;  L. Cornelius Lentulus Crus,,,,Italy; Capua,1052; 432754,,
Fam. 16.12,January 27 49 BCE,-1.27.49,-1.27.49,Capua,432754,Cicero,Marcus Tullius Tiro,Patrae,570567,,,C. Julius Caesar; Cn. Pompeius Magnus; L. Domitius Ahenobarbus; Considius Nonianus; Lucius Afranius; A. Terentius Varro Murena; T. Labienus; Publius Cornelius Dolabella; M. Petreius; M. Volusius; Terentia; Tullia; Marcus Tullius Cicero Minor,,,,Ariminum Pisaurum; Ancona; Arretium; Spain; Northern gaul; Southern Gaul; Rome; Spain; Formiae,393379; 413256; 413014; 413032; 993; 1052; 992072; 432839,Transpadani,383801
Fam. 16.13,April 8 53 BCE,-4.8.53,-4.8.53,Cumae,432808,Cicero,Marcus Tullius Tiro,Formiae,432839,,,,,Menander/Andricus,,,,,
Fam. 16.14,April 10 53 BCE,-4.10.53,-4.10.53,Cumae,432808,Cicero,Marcus Tullius Tiro,Formiae,432839,,,Ummius,,Menander/Andricus; Ummius; Acastus,,,,,
Fam. 16.15,April 12 53 BCE,-4.12.53,-4.12.53,Cumae,432808,Cicero,Marcus Tullius Tiro,Formiae,432839,,,Hermia,,Aegypta,,,,,
Fam. 16.16,May 53 BCE,-5.1.53,-5.31.53,Transalpine Gaul,981537,Quintus Tullius Cicero,Cicero,Cumae,432808,,,Marcus Tullius Tiro; Tullia; Quintus Tullius Cicero Minor,Marcus Tullius Cicero Minor,Statius (Quintus' slave); Sabinus (Trebonius' servant),,,,,
Fam. 16.17,July 46 BCE,-7.1.46,-7.31.46,Tusculum,423108,Cicero,Marcus Tullius Tiro,Rome,423025,,,P. Cuspius; Theophrastus,,Demetrius of Sadara (Pompey's freedman),,,,,
Fam. 16.18,late December 45 BCE,-12.15.45,-12.31.45,Rome,423025,Cicero,Marcus Tullius Tiro,Tusculum,423108,,,A. Ligurius; C. Julius Caesar; Paredus (market-gardener); Helico; (gardener); Motho (Cicero's gardener),,,Sophocles,Crabra (aqueduct from Tusculum from Rome),not able to find,,
Fam. 16.19,July 46 BCE,-7.1.46,-7.31.46,Tusculum,423108,Cicero,Marcus Tullius Tiro,Rome,423025,,,Sextus Aufidius,,Demetrius of Sadara (Pompey's freedman),,,,,
Fam. 16.20,late December 45 BCE,-12.15.45,-12.31.45,Rome,423025,Cicero,Marcus Tullius Tiro,Tusculum,423108,,,Metrodorus,Motho (Cicero's gardener),,,,,,
Fam. 16.21,Early August 44 BCE,-8.1.44,-9.10.44,Athens,579885,Marcus Tullius Cicero Minor,Marcus Tullius Tiro,Rome,423025,,,Cratippus of Mitylene; Bruttius; Epicrates; Cassius; Leonides; Gorgias,Cicero,Anterus (Marcus' slave),,,,,
Fam. 16.22,July 46 BCE,-7.1.46,-7.31.46,Tusculum,423108,Cicero,Marcus Tullius Tiro,Rome,423025,,,Demetrius; Marcus Porcius Cato Uticensis; Tertia; Publilius,,Demetrius of Sadara (Pompey's freedman); Bellienus (slave of Demetrius; 8.15),,Phalerum,580072,,
Fam. 16.23,May 31 44 BCE,-5.31.44,-5.31.44,Tusculum,423108,Cicero,Marcus Tullius Tiro,Rome,423025,,,P. Servilius Vatia Isauricus; Q. Pompeius Bithynicus; M. Antonius; Q. Lepta; Lucius Cornelius Balbus; T. Pomponius Atticus,Quintus Tullius Cicero Minor,,,,,,
Fam. 16.24,mid November 44 BCE,-11.13.44,-11.18.44,Arpinum,432700,Cicero,Marcus Tullius Tiro,Rome,423025,,,Harpalus; Ofillius; Aurelius; Flaminius Flamma; M. Antonius; C. Julius Caesar Octavianus (Augustus); Aulus Hirtius; Lucius Cornelius Balbus; Papia; Publius Cornelius Dolabella,,,,Aquinum,432695,,
Fam. 16.25,October 44 BCE,-10.1.44,-10.31.44,Athens,579885,Marcus Tullius Cicero Minor,Marcus Tullius Tiro,Rome,423025,,,,Cicero,,,,,,
Fam. 16.26,autumn 44 BCE,-9.1.44,-11.1.44,Rome,423025,Quintus Tullius Cicero,Marcus Tullius Tiro,Rome,423025,,,,Cicero; Helvia (mother),,,,,,
Fam. 16.27,late December 44 BCE,-12.21.44,-12.31.44,Rome,423025,Quintus Tullius Cicero,Marcus Tullius Tiro,Rome,423025,,,,Cicero; Aulus Hirtius; C. Vibius Pansa Caetronianus; M. Antonius; Cossutius,,,Caesena ,393397,Gauls,993
