Source,Target,type,id,mention,Weight,who
8,111,Directed,124,mentioned,1,Milo
8,43,Directed,125,inferred,3,Dolabella
8,113,Directed,126,inferred,1,Clodius
8,85,Directed,127,inferred,1,Tullia
8,160,Directed,128,mentioned,1,D. Tullius
8,85,Directed,129,mentioned,1,Tullia
9,38,Directed,130,mentioned,1,Testa
9,161,Directed,131,mentioned,1,Postumia
9,37,Directed,132,mentioned,4,Caesar
9,162,Directed,133,mentioned,5,Servius Sulpicius Rufus (son)
9,10,Directed,134,mentioned,1,M. Claudius Marcellus
9,163,Directed,135,mentioned,1,L. Calpurnius Piso Caesonius
9,88,Directed,136,mentioned,1,C. Claudius Marcellus Minor
9,101,Directed,137,mentioned,1,L. Volcatius Tullus
9,164,Directed,138,mentioned,1,L. Aemilius Paullus Macedonicus
10,17,Directed,139,mentioned,1,Pompey
10,94,Directed,140,mentioned,2,C. Claudius Marcellus
10,17,Directed,141,inferred,1,Pompey
10,124,Directed,142,mentioned,1,Q. Mucius Scaevola
12,37,Directed,143,mentioned,1,Caesar
13,165,Directed,144,inferred,1,Publilia
14,166,Directed,145,mentioned,1,Q. Metellus Nepos
14,167,Directed,146,mentioned,1,Clodia
14,168,Directed,147,mentioned,1,Mucia
14,17,Directed,148,mentioned,1,Pompey
14,15,Directed,149,inferred,1,C. Antonius Hybrida
14,91,Directed,150,mentioned,1,Quintus
14,169,Directed,151,mentioned,1,Atticus
14,1,Directed,152,inferred,1,Spinther
15,169,Directed,153,mentioned,1,Atticus
16,170,Directed,154,mentioned,1,Cornelia
16,84,Directed,155,mentioned,1,Terentia
16,171,Directed,156,mentioned,1,Q. Fufius Calenus
16,172,Directed,157,mentioned,1,Q. Cornelius
16,18,Directed,158,mentioned,1,Crassus
16,15,Directed,159,mentioned,1,C. Antonius Hybrida
18,173,Directed,160,mentioned,1,M. Licinius Crassus Minor
18,174,Directed,161,mentioned,1,P. Licinius Crassus
18,175,Directed,162,inferred,1,L. Domitius Ahenobarbus
18,8,Directed,163,inferred,1,Appius Claudius Pulcher
18,176,Directed,164,inferred,1,Tertulla
19,177,Directed,165,mentioned,1,Pompeia
21,178,Directed,166,inferred,1,Titius' wife
22,179,Directed,167,mentioned,1,Publius Sittius Minor
22,180,Directed,168,inferred,1,Sulla
23,17,Directed,169,inferred,1,Pompey
